experiment_id	library_strategy	library_selection	taxon_id	scientific_name	collection_date	location	lat_lon
SRX30251552	WGS	RANDOM	1076179	bioreactor metagenome	2019-09-12	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30251539	WGS	RANDOM	1076179	bioreactor metagenome	2019-05-23	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30251497	WGS	RANDOM	1076179	bioreactor metagenome	2019-08-15	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30251492	WGS	RANDOM	1076179	bioreactor metagenome	2019-08-15	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30251470	WGS	RANDOM	1076179	bioreactor metagenome	2019-08-29	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30251434	WGS	RANDOM	1076179	bioreactor metagenome	2019-08-15	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30251433	WGS	RANDOM	1076179	bioreactor metagenome	2019-06-30	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30251419	WGS	RANDOM	1076179	bioreactor metagenome	2019-06-30	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30251417	WGS	RANDOM	1076179	bioreactor metagenome	2019-05-23	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30251376	WGS	RANDOM	1076179	bioreactor metagenome	2019-05-23	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30251375	WGS	RANDOM	1076179	bioreactor metagenome	2019-04-25	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30251373	WGS	RANDOM	1076179	bioreactor metagenome	2019-07-24	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30251363	WGS	RANDOM	1076179	bioreactor metagenome	2019-03-28	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30251324	WGS	RANDOM	1076179	bioreactor metagenome	2019-04-08	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30251323	WGS	RANDOM	1076179	bioreactor metagenome	2019-04-25	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30251057	WGS	RANDOM	1076179	bioreactor metagenome	2019-07-24	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30251042	WGS	RANDOM	1076179	bioreactor metagenome	2019-03-28	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30251041	WGS	RANDOM	1076179	bioreactor metagenome	2019-04-08	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30251036	WGS	RANDOM	1076179	bioreactor metagenome	2019-12-16	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30250979	WGS	RANDOM	1076179	bioreactor metagenome	2019-04-08	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30250965	WGS	RANDOM	1076179	bioreactor metagenome	2019-12-16	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30250729	WGS	RANDOM	1076179	bioreactor metagenome	2019-12-16	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30250722	WGS	RANDOM	1076179	bioreactor metagenome	2019-03-28	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30250712	WGS	RANDOM	1076179	bioreactor metagenome	2019-12-03	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30250711	WGS	RANDOM	1076179	bioreactor metagenome	2019-12-03	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30250684	WGS	RANDOM	1076179	bioreactor metagenome	2019-11-05	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30250552	WGS	RANDOM	1076179	bioreactor metagenome	2019-04-25	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30250304	WGS	RANDOM	1076179	bioreactor metagenome	2019-11-18	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30250296	WGS	RANDOM	1076179	bioreactor metagenome	2019-12-03	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30250206	WGS	RANDOM	1076179	bioreactor metagenome	2019-10-08	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30250205	WGS	RANDOM	1076179	bioreactor metagenome	2019-11-05	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30250166	WGS	RANDOM	1076179	bioreactor metagenome	2019-10-08	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30250165	WGS	RANDOM	1076179	bioreactor metagenome	2019-09-29	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30250161	WGS	RANDOM	1076179	bioreactor metagenome	2019-10-20	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30250144	WGS	RANDOM	1076179	bioreactor metagenome	2019-09-18	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30250125	WGS	RANDOM	1076179	bioreactor metagenome	2019-12-31	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30250113	WGS	RANDOM	1076179	bioreactor metagenome	2019-10-20	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30250111	WGS	RANDOM	1076179	bioreactor metagenome	2019-09-18	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30250094	WGS	RANDOM	1076179	bioreactor metagenome	2019-09-29	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30250093	WGS	RANDOM	1076179	bioreactor metagenome	2019-10-20	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30250091	WGS	RANDOM	1076179	bioreactor metagenome	2019-11-18	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30250080	WGS	RANDOM	1076179	bioreactor metagenome	2019-07-24	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30250079	WGS	RANDOM	1076179	bioreactor metagenome	2019-10-08	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30250076	WGS	RANDOM	1076179	bioreactor metagenome	2019-11-05	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30250075	WGS	RANDOM	1076179	bioreactor metagenome	2019-11-18	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30250063	WGS	RANDOM	1076179	bioreactor metagenome	2019-09-18	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30250062	WGS	RANDOM	1076179	bioreactor metagenome	2019-09-12	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX28110039	WGS	RANDOM	527639	wastewater metagenome	2023-10-19	USA: Chicago	not collected
SRX28110038	WGS	RANDOM	527639	wastewater metagenome	2023-10-19	USA: Chicago	not collected
SRX28110037	WGS	RANDOM	527639	wastewater metagenome	2023-10-19	USA: Chicago	not collected
SRX28110036	WGS	RANDOM	527639	wastewater metagenome	2023-10-17	USA: Chicago	not collected
SRX28110035	WGS	RANDOM	527639	wastewater metagenome	2023-10-17	USA: Chicago	not collected
SRX28110034	WGS	RANDOM	527639	wastewater metagenome	2023-11-09	USA: Chicago	not collected
SRX28110033	WGS	RANDOM	527639	wastewater metagenome	2023-11-09	USA: Chicago	not collected
SRX28110032	WGS	RANDOM	527639	wastewater metagenome	2023-11-09	USA: Chicago	not collected
SRX28110031	WGS	RANDOM	527639	wastewater metagenome	2023-11-09	USA: Chicago	not collected
SRX28110030	WGS	RANDOM	527639	wastewater metagenome	2023-11-09	USA: Chicago	not collected
SRX28110029	WGS	RANDOM	527639	wastewater metagenome	2023-11-09	USA: Chicago	not collected
SRX28110028	WGS	RANDOM	527639	wastewater metagenome	2023-11-09	USA: Chicago	not collected
